Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond - Developed Markets
03/1997,23129.89274528737,,27679.5482283121,122491.17455064926,140651.02339882293,72019.34976435678,16436.091103159368,14593.900783731891,22695.89927773612
04/1997,24644.072164033743,,28724.0025974026,127159.80947713036,140712.87320944032,72539.08831168832,16566.653450333455,14292.979812214817,23240.55728776098
05/1997,26064.431952580464,,30344.692730294813,134572.05451778104,146272.58454465755,74386.72331379581,18170.619839034207,14767.482977867208,23585.536961755537
06/1997,27538.11692278689,,32255.83407643312,142847.83689100642,155316.34282389822,79248.1377388535,19537.860744869075,15167.410796178345,24161.374669455738
07/1997,30556.423379582397,,34652.37725040916,153560.5123052454,167118.75438326196,82669.0031096563,21160.001296599385,15571.753031460266,25167.136993329917
08/1997,29667.345651145628,,33140.15501730104,147350.23775778493,162064.4311265704,74207.37301038062,22281.404588048263,16069.570954830266,24730.779097762166
09/1997,30471.42290547583,,33992.02500682997,151256.6138390343,173117.74885256423,74263.34255532283,23356.18699389855,16542.75676532192,24850.199313257293
10/1997,28919.15115397329,,31387.78084763949,140670.86794401563,161617.0841953391,60950.89200643777,22133.428234978543,16173.395541845492,24603.692228756365
11/1997,29635.18627072745,,31212.128785357738,140190.5015893399,160723.39824711316,57518.353078203,21663.59167702952,15555.686016288644,24679.19445869677
12/1997,30957.447132087964,,32475.10997391852,145703.51622969736,171092.28914895593,60493.72218724704,22576.47929490062,16021.686934076804,25114.249911197065
01/1998,32019.795525622503,,33953.44471432514,153183.99090702526,182313.5248376896,57031.48136903119,22786.477937252745,16869.51097249057,25851.639894225835
02/1998,34253.596854553405,,36196.27155053704,163160.93670644032,196134.29666105588,62845.41200771138,24435.5204333058,18098.369389516207,25846.00584125982
03/1998,36140.37048391496,,37879.80088454805,170652.24659611567,210876.65944594887,65814.32496084033,25613.05125587396,19889.520434902795,25911.23653155465
04/1998,36256.759877504766,,37975.89658643726,171127.45656904115,213510.76431165665,64656.53191177816,25719.427511668346,20425.41199414295,25692.56423412401
05/1998,35090.85666363194,,36687.93287671234,166383.9192603877,214517.924368949,54946.140410958906,24188.34860310022,20971.220120764247,25671.379800292063
06/1998,36781.39527653441,,37620.14901960785,171544.17313623577,218443.1866592716,49539.67483660131,24126.58167392884,20315.83673747277,25880.283774716816
07/1998,36475.82309109218,,37721.470373066426,171648.62106685134,223285.7337205117,51231.3137033667,22408.570884440403,20108.85341401274,25666.367367880965
08/1998,31075.010653770016,,32304.33754417761,148126.53873703408,194404.402583094,36269.79267784323,18355.95155052107,17739.045696420482,26148.54757863993
09/1998,31523.098743026138,,31409.90638444924,143689.37233193914,177924.91096089754,36771.157477321816,18361.39107732182,16068.197567170628,26140.821723171648
10/1998,32828.01582744618,,33012.210866128626,150867.18500687953,185068.22947182995,39141.80467592978,18386.28764456278,15858.548874282387,26672.63290839484
11/1998,35825.13205856945,,36029.613628970124,164439.9040039111,200554.6647025536,43623.9635647633,19858.72867905145,16667.473973118744,26919.001854994676
12/1998,37647.83637751166,10000.0,37462.341374617215,171348.44221891378,207988.02342530404,42717.47567199728,20527.47237495747,16739.571619598504,27145.31120495718
01/1999,40503.79747793662,9936.701170063245,39477.1675509487,180796.55679470647,213401.6700022833,43401.64158468025,21249.486284258608,16963.640948699933,27810.218257883727
02/1999,40548.64519376216,10086.814449083318,39763.39762207298,181806.6064864919,214894.5884723812,45279.56770738791,20141.767830822297,17456.6277999637,27845.660496507084
03/1999,43254.45603859343,10487.306313163284,42619.548426736175,194214.83370828495,222821.2866310721,52563.69350214113,20668.17401228822,18201.195596723144,28386.51971425189
04/1999,45544.28192582365,11527.732582051523,45069.23248089081,204605.64254084107,232600.34921988423,59875.14088893083,23010.864152118524,19352.261075776165,28954.50329557564
05/1999,45068.47971674032,11981.551947207345,44062.93198163733,199759.49364811045,224414.974656307,60329.542482785,23836.26957345065,19402.04383320582,28878.813592769468
06/1999,48159.2150726635,12479.100996901629,46829.9692680093,211639.39614297912,231031.03936090216,68009.00141363284,25143.39770333076,19826.231915182037,28691.991948533767
07/1999,45058.68401518935,11690.50432728633,45042.394595100064,203755.3449302743,225196.39610768063,63897.13858238264,23816.68698522537,19779.42360201983,28323.89391009196
08/1999,45348.87883647522,11611.826942211292,45503.17601437624,205692.81389361137,230087.54409579263,65216.39177149343,23086.808347678056,20267.905114915357,28832.537395903222
09/1999,43725.21431450646,10939.995812845757,44624.30430379746,201913.42143311736,226344.31548910728,62465.79172995781,22492.207617440225,19920.05156118144,29042.91155227533
10/1999,47435.09575610408,11131.295629580023,47835.21903759687,216688.52871432208,239432.398893994,65089.71613890751,22568.12570171243,19991.674943078546,29412.538974622094
