,Date,S&P 500,S&P 500 Minimum Volatility,MSCI ACWI,MSCI WORLD,MSCI World,MSCI Europe,MSCI Emerging Markets,MSCI USA Small Cap Value Weighted,MSCI Europe Small Cap Value Weighted,FTSE World Government Bond Developed Markets,FTSE World Government Bond G7,Gold spot
353,1997-07,30556.4233795824,36206.231582796376,301.1747142058465,2482.910460892789,178789.19371208054,195282.5901194959,82669.0031096563,21160.001296599385,15713.967397708671,25167.13699332992,25069.10024713175,18083.81310680784
354,1997-08,29667.345651145628,36440.68403187551,280.0442222783988,2317.176415612011,171614.2941518694,189425.59936364865,74207.37301038062,22281.404588048263,16217.091530908074,24730.779097762166,24576.306119913137,18542.63085849729
355,1997-09,30471.42290547583,37582.31663928316,294.97906898966204,2443.431687805364,176218.85265406469,202394.236734392,74263.34255532283,23356.18699389855,16695.941498952736,24850.199313257293,24649.99201210216,18430.923324519503
356,1997-10,28919.15115397329,35455.377124739425,277.415447357648,2315.203613153134,163940.4448753,188998.78567651584,60950.89200643777,22133.428234978543,16323.501101573676,24603.692228756365,24408.23483236262,16968.42597516047
357,1997-11,29635.18627072745,35513.70513468582,281.6591727025525,2356.5411167520383,163433.4433174367,188001.3303622925,57518.353078203,21663.59167702952,15701.488774848942,24679.19445869677,24488.291319620446,15840.027527479042
358,1997-12,30957.447132087964,37284.823727439885,285.35682275546105,2385.6303892030014,169914.8595527225,200179.03370515408,60493.72218724704,22576.47929490062,16173.270938033998,25114.249911197065,24953.03904997268,15850.854035227909
359,1998-01,32019.795525622503,37608.06963083039,291.6391215911043,2452.4895419810705,178694.69518773293,213358.2814889984,57031.48136903119,22786.477937252745,17030.046232404085,25851.639894225835,25711.268063989963,17092.938062867768
360,1998-02,34253.596854553405,40671.73209903931,311.58953113027286,2618.7823694011663,190390.75106485985,229586.1681632062,62845.41200771138,24435.5204333058,18271.08057651704,25846.00584125982,25678.94173173681,16638.476930463585
361,1998-03,36140.37048391496,42755.4795178998,324.8849249869906,2729.76291429612,199190.73928392943,246900.0369861324,65814.32496084033,25613.05125587396,20082.22784114992,25911.23653155465,25750.438348221065,16901.949544557232
362,1998-04,36256.759877504766,42464.510903956136,327.93001763830125,2756.845191529983,199804.566457652,250043.777578244,64656.53191177816,25719.427511668346,20632.974038619934,25692.56423412401,25485.427510320165,17328.4779684325
363,1998-05,35090.85666363194,40914.428198046575,321.7075649746732,2722.6995221726443,194324.40510275823,251283.3191904653,54946.140410958906,24188.34860310022,21200.23279560202,25671.379800292063,25412.77708636989,16125.370858349655
364,1998-06,36781.39527653441,41194.52234448237,327.504125840836,2787.7117049489702,200409.3506461749,255939.67584895063,49539.67483660131,24126.58167392884,20550.25304647785,25880.283774716816,25657.512469996072,16391.84476642181
365,1998-07,36475.82309109218,39275.70417621869,327.61101073905843,2783.6425798318583,200590.26297216152,261672.75749315784,51231.3137033667,22408.570884440403,20349.566558689723,25666.367367880965,25364.070632740128,16017.502033224093
366,1998-08,31075.010653770016,34857.233528011784,281.7116276179331,2412.837846458105,173160.89827251312,227885.97101721013,36269.79267784323,18355.95155052107,17952.268723153604,26148.54757863993,25882.47534106352,15098.933802743482
367,1998-09,31523.098743026138,34879.64902329931,287.3164452329201,2455.929127071462,168030.76755669637,208627.72018902464,36771.157477321816,18361.39107732182,16261.616817278622,26140.821723171648,25805.643597749186,15471.22861675491
368,1998-10,32828.01582744618,35727.8136685837,313.55561201553013,2678.3730573468792,176480.5004794289,217062.23115097824,39141.80467592978,18386.28764456278,16049.497021382813,26672.63290839484,26419.1733216046,14821.105152829556
369,1998-11,35825.13205856945,38078.586981174514,332.59246156937326,2838.0737809089896,192414.45487134147,235284.3873390735,43623.9635647633,19858.72867905145,16868.163494563825,26919.00185499468,26633.653309455105,15375.180404150757
370,1998-12,37647.83637751166,38557.34112682215,348.0380830498243,2977.1527378008013,200555.9635862544,244063.7067832149,42717.47567199728,20527.47237495747,16941.233295338552,27145.31120495718,26845.42135668035,14901.254904292891
371,1999-01,40503.79747793662,38326.13997665463,355.1514771131447,3042.7562348275364,211673.37965709355,250474.9492736853,43401.64158468025,21250.877598383697,17168.174994729445,27810.218257883727,27509.22552892704,15278.446227899423
372,1999-02,40548.64519376216,38934.9095083504,346.2248385150196,2962.236125867483,212917.27101436685,252289.4965758908,45279.56770738791,20145.148275549105,17667.192445089855,27845.660496507084,27619.68533599465,15877.235681917124
373,1999-03,43254.45603859343,40513.00717590654,361.79759261607023,3086.007843063738,227512.8354956401,261661.14740120707,52563.69350214113,20673.3461645876,18422.42318004096,28386.51971425189,28204.547382040444,15854.008045501654
374,1999-04,45544.28192582365,44549.89069438966,377.4287413284115,3208.0928041116026,239749.6704414064,273210.1135780036,59875.14088893083,23018.45413041427,19594.75504388034,28954.50329557564,28804.044045860395,16482.130942051554
375,1999-05,45068.47971674032,46338.37818506888,364.09207713413264,3091.297373081455,234136.52124946789,263661.8267966126,60329.542482785,23846.648301453708,19652.74277735272,28878.813592769468,28762.664762719985,15655.269278425903
376,1999-06,48159.2150726635,48287.19020907967,382.2185005211482,3235.913930979569,248127.4116852737,271501.65963417606,68009.00141363284,25156.277302478706,20087.94536986832,28691.991948533767,28619.326373671887,15400.839199906774
377,1999-07,45058.68401518935,45252.77691240339,380.6565279475542,3226.654213279131,238949.5524938444,264712.1196862515,63897.13858238264,23830.68786422293,20042.88311763606,28323.89391009196,28250.58134145403,14566.01584545796
378,1999-08,45348.87883647522,44985.35745888091,380.200306395155,3221.376577966518,241288.88966202908,270528.88471060846,65216.39177149343,23102.81859264164,20538.01948169867,28832.537395903222,28856.103444263208,14686.601118728704
