Date,MSCI Europe Small Cap Value Weighted,MSCI USA Small Cap Value Weighted,MSCI Europe,MSCI World Momentum,MSCI ACWI,MSCI World,S&P 500 Minimum Volatility,MSCI Emerging Markets,FTSE World Government Bond - Developed Markets,S&P 500,MSCI USA Small Cap Value Weighted
04/1994,,,91939.83730525758,,20026.3836056932,88576.7385285946,,63958.06541908276,18779.30496901764,12891.672761664764,
05/1994,,,86139.62645020637,,19711.49871045392,86876.3617709675,,64725.34054332874,18514.5044796148,12821.613417789253,
06/1994,,,83851.14258409844,10000.0,19297.24298037889,85208.77017769284,,61919.19834235453,18298.8120140506,12304.236876536706,
07/1994,,,85526.07745713418,9701.71937932652,19116.460032786887,84133.74721971164,,63742.24313114755,18394.008761889727,12316.604873200962,
08/1994,,,88340.10118156458,10027.978441187342,19820.13485967504,86747.8287619667,,71735.80221565731,18256.107668626908,12836.31017355328,
09/1994,,,83928.01296217272,9657.2647256692,19147.316171456405,83544.41871571058,,71773.59483682415,18058.461933141258,12388.229940679188,
10/1994,,,85910.35358738065,9800.378708566866,19262.73741041567,84259.97079491657,,69131.97204968944,17882.18810435332,12424.473496473596,
11/1994,10000.0,10000.0,83848.15113678505,9332.182502528718,18700.18632616777,81785.1990511987,,66512.037837401,18353.25808106721,12150.00857940921,10000.0
12/1994,10301.931555335645,10405.099244598385,86049.38416582727,9575.213960437166,19149.21909945572,84246.46810984582,,62421.077931716965,18232.979437186725,12582.41501311178,10405.099244598385
01/1995,10034.275419662332,10164.392842717509,83630.82188141733,9060.974478344986,18376.15535988368,81266.12337183832,,54639.949511269086,18319.48336424991,12644.893742612509,10164.392842717509
02/1995,10025.372090124642,10499.145223713647,84589.4931577885,9038.03463763445,18369.127133269416,81528.84341969769,,52655.84582933845,18451.24718790701,12993.880712335687,10499.145223713647
03/1995,9878.190236522809,10216.284937797574,85075.42913806671,9209.582135685288,18464.034249731223,82118.7708814733,,50931.329672861306,18615.74969412322,12857.48428695583,10216.284937797574
04/1995,9842.269906598374,10267.996649593251,86116.39164426744,9431.48336417188,18769.49633925881,83336.13589165211,,52198.03594456163,19048.70347712831,12982.853312539622,10267.996649593251
05/1995,10229.693885574425,10650.536711029526,89237.39402061989,9606.724602556318,19269.910738871044,85328.47281298498,,55824.32987608996,19884.822591467026,13710.366892566946,10650.536711029526
06/1995,10241.4184375,10993.703951759711,89327.0848773625,9782.380477007046,19113.356386529125,84571.50239243411,,55522.30439927184,19649.5737459052,13911.774039246971,10993.703951759711
07/1995,10476.962551915438,11438.66326411275,92891.08218758012,10040.99550469657,19805.27922632881,87752.24032544371,,56108.94971137266,19486.38354974938,14206.113189136824,11438.66326411275
08/1995,10393.548324708428,12050.395098478411,92003.8699706089,10281.197076907638,19958.17380088052,88375.50408205789,,56446.10546072449,19807.2976279749,14673.019847872903,12050.395098478411
09/1995,10739.911804740672,12379.943546898226,95999.1973499528,10920.270267237003,20770.35855432997,92097.03443530512,,56898.94907298756,19875.873228874767,15488.442608809182,12379.943546898226
10/1995,10359.587129765116,11668.038761648057,94059.42574361124,10881.140987098404,20105.485991528687,89217.37093241034,,53869.593361571046,20036.192130086434,15193.003751486518,11668.038761648057
11/1995,10119.366856525432,12155.934154511076,94932.9514763424,11262.549103923571,20782.75693447557,92495.14614665232,,53023.258207918494,20658.52310849745,15894.22979652807,12155.934154511076
12/1995,10460.206406899257,12592.647755390042,99492.47126182588,11607.472586217204,21747.61778126225,96687.24930833216,,56251.91600156801,20783.587243951533,16456.94876457078,12592.647755390042
01/1996,10628.099493731155,12775.38420250754,101358.71302174898,12101.342205778752,22500.964846849707,99611.20517696098,,60981.89733375655,21302.30492954967,17223.68184932228,12775.38420250754
02/1996,11150.188686352756,13158.677508379891,103798.23732174812,12344.76220551957,22724.483415802075,100773.132381904,,60357.15624900241,20791.04669061057,17483.252118797678,13158.677508379891
03/1996,11362.792140692296,13540.76615249641,104972.38733269116,12485.053139478629,23059.58867442973,102363.81708397644,,60788.451491465945,20778.35773769586,17640.287714165417,13540.76615249641
04/1996,11574.4476994852,14267.2757480695,106633.4254713136,12717.866750098248,23824.066071428573,105642.96432969705,,63757.96071428571,21208.36128981332,18052.98868677792,14267.2757480695
05/1996,12000.694664169994,14924.678016771151,108760.92453488088,13132.974788103887,24137.99692257592,106995.484505048,,64243.23404705691,21079.350357185143,18743.208585179567,14924.678016771151
06/1996,11916.564837224334,14440.285069876409,109105.74339761668,13313.916637215883,24082.159722110024,106681.28624976898,,64143.07386703287,21057.38643091132,18668.803072469545,14440.285069876409
07/1996,11530.687782020686,13238.349002386638,106101.99955782454,12596.975407693906,22830.45350835322,101326.26425399986,,58851.26749403341,20930.0134191104,17572.862696743352,13238.349002386638
08/1996,11627.121553015377,13812.329958218374,108260.08095805989,12641.45925165533,22902.493054789124,101540.89491783836,,59810.475206937335,21035.718514425545,17780.882700210288,13812.329958218374
09/1996,11624.70195451654,14420.1869163486,111496.07051562169,13327.359570115606,23954.05419847328,106409.88365052524,,60851.49217557251,21564.0466511426,18944.46329573469,14420.1869163486
10/1996,11930.541580920475,14398.087142059509,114439.4166919883,13484.754045938009,24124.65872218234,107464.91084963172,,59412.83632447953,21647.442475431188,19527.520175964382,14398.087142059509
11/1996,12141.972885039371,14848.566160629924,118695.34392100216,14090.280440213612,25088.199023622048,112009.60295487124,,59633.0211968504,22138.779255634054,20733.968605105485,14848.566160629924
12/1996,12770.834428973843,15484.569646680082,123672.488560404,14256.897172276182,25272.04940040241,112633.65152876382,,61228.55589537224,22041.97418794648,20772.9511051641,15484.569646680082
01/1997,13353.250289351854,16305.59912202381,127380.89833442953,15315.152865274396,26394.93005952381,117069.82555107116,,67183.88973214285,22735.584323321626,22671.04023865503,16305.59912202381
02/1997,14077.247845742388,16885.11352256061,134687.22157084514,16038.971812963026,27920.45983953067,123552.63828839756,,73113.5041325166,23177.51706989777,23844.209246047823,16885.11352256061
03/1997,14593.900783731891,16436.091103159368,140651.02339882293,15864.929363364334,27679.5482283121,122491.17455064926,,72019.34976435678,22695.89927773612,23129.89274528737,16436.091103159368
04/1997,14292.979812214817,16566.653450333455,140712.87320944032,16917.633070914864,28724.0025974026,127159.80947713036,,72539.08831168832,23240.55728776098,24644.072164033743,16566.653450333455
05/1997,14767.482977867208,18170.619839034207,146272.58454465755,17738.19831152203,30344.692730294813,134572.05451778104,,74386.72331379581,23585.536961755537,26064.431952580464,18170.619839034207
06/1997,15167.410796178345,19537.860744869075,155316.34282389822,18937.896790220297,32255.83407643312,142847.83689100642,,79248.1377388535,24161.374669455738,27538.11692278689,19537.860744869075
07/1997,15571.753031460266,21160.001296599385,167118.75438326196,20941.205895696472,34652.37725040916,153560.5123052454,,82669.0031096563,25167.13699332992,30556.4233795824,21160.001296599385
08/1997,16069.570954830266,22281.404588048263,162064.4311265704,19778.010850080784,33140.15501730104,147350.23775778493,,74207.37301038062,24730.779097762166,29667.345651145628,22281.404588048263
09/1997,16542.75676532192,23356.18699389855,173117.74885256423,20796.92546808164,33992.02500682997,151256.6138390343,,74263.34255532283,24850.199313257293,30471.42290547583,23356.18699389855
10/1997,16173.395541845492,22133.428234978543,161617.0841953391,19371.88923420158,31387.78084763949,140670.86794401563,,60950.89200643777,24603.692228756365,28919.15115397329,22133.428234978543
11/1997,15555.686016288644,21663.59167702952,160723.39824711316,19345.57211973168,31212.128785357738,140190.5015893399,,57518.353078203,24679.19445869677,29635.18627072745,21663.59167702952
12/1997,16021.686934076804,22576.47929490062,171092.28914895593,20393.12300481488,32475.10997391852,145703.51622969736,,60493.72218724704,25114.249911197065,30957.447132087964,22576.47929490062
01/1998,16869.51097249057,22786.477937252745,182313.5248376896,21462.959899371563,33953.44471432514,153183.99090702526,,57031.48136903119,25851.639894225835,32019.795525622503,22786.477937252745
